"","Team","NUM_PLAYERS","AVG_AUDIENCE","TWITTER_FAVORITE_COUNT","TWITTER_RETWEET_COUNT"
"1","Atlanta Hawks",12,15958,17,9
"2","Boston Celtics",15,18553,11,15
"3","Brooklyn Nets",16,15429,6.5,8.5
"4","Charlotte Hornets",18,17332,29.25,14.5
"5","Chicago Bulls",12,21680,37,32.5
"6","Cleveland Cavaliers",14,20562,237.75,147
"7","Dallas Mavericks",18,19789,30.5,17.5
"8","Denver Nuggets",14,14770,10,11.5
"9","Detroit Pistons",15,15979,6,10
"10","Golden State Warriors",15,19596,141.5,34
"11","Houston Rockets",12,16973,55,15
"12","Indiana Pacers",13,16697,13,8
"13","Los Angeles Clippers",14,19088,80,27
"14","Los Angeles Lakers",18,18949,24.25,14.75
"15","Memphis Grizzlies",14,16519,5,11
"16","Miami Heat",15,19643,28.5,12
"17","Milwaukee Bucks",14,15828,9,9
"18","Minnesota Timberwolves",14,14809,22,47
"19","New Orleans Pelicans",12,16173,1,7
"20","New York Knicks",14,19774,2.5,71.25
"21","Oklahoma City Thunder",19,18203,17.25,14.5
"22","Orlando Magic",14,17753,20,12.5
"23","Philadelphia 76ers",18,17330,19.25,9.5
"24","Phoenix Suns",13,17283,10.5,9
"25","Portland Trail Blazers",14,19317,28.25,13.75
"26","Sacramento Kings",18,17608,19.25,7.5
"27","San Antonio Spurs",16,18423,112,40
"28","Toronto Raptors",16,19830,20.5,14.5
"29","Utah Jazz",15,19673,48,12
"30","Washington Wizards",14,17002,8,11.25
