"","PLAYER_NAME","DEF_RATING","TWITTER_FAVORITE_COUNT","TWITTER_RETWEET_COUNT"
"1","Jarnell Stokes",118.3,7,9
"2","Demetrius Jackson",117.8,NA,NA
"3","Brandon Bass",116.7,NA,NA
"4","Julius Randle",113.3,102,59
"5","Kenneth Faried",112.1,14,8
"6","Thomas Robinson",111.2,15,6
"7","Carmelo Anthony",111.1,720.5,220
"8","Cheick Diallo",110.9,NA,NA
"9","Karl-Anthony Towns",110.8,0,105
"10","Eric Bledsoe",110.2,9,30.5
"11","Richaun Holmes",110,25,4
"12","Ricky Rubio",109.9,262.5,76
"13","Nikola Jokic",109.8,0,1
"14","Tyson Chandler",109.5,29,9
"15","Danilo Gallinari",109.4,29,6
"16","Jabari Parker",109.3,267,125
"17","Kyrie Irving",109.1,1541,695
"18","DeMarcus Cousins",109,102,91.5
"19","Lou Williams",109,26.5,9
"20","Damian Lillard",108.9,186.5,43
"21","Andre Drummond",108.9,0,25
"22","Kyle O'Quinn",108.9,0,7
"23","Archie Goodwin",108.7,8,4
"24","Jeremy Lamb",108.7,NA,NA
"25","Isaiah Thomas",108.6,467.5,155.5
"26","Michael Beasley",108.5,8,5
"27","Marreese Speights",108.4,80,12
"28","Al Jefferson",108.1,NA,NA
"29","Shawn Long",108,NA,NA
"30","Enes Kanter",107.9,147,195
