"","PLAYER_NAME","OFF_RATING","TWITTER_FAVORITE_COUNT","TWITTER_RETWEET_COUNT"
"1","Demetrius Jackson",124.2,NA,NA
"2","JaVale McGee",121.4,0,32
"3","Stephen Curry",118.1,12278,2893
"4","Kevin Durant",117.2,1425.5,366
"5","Chris Paul",116.2,829,178.5
"6","Jarnell Stokes",115.3,7,9
"7","Blake Griffin",115.2,269,98.5
"8","Draymond Green",115.2,627,168.5
"9","LeBron James",114.9,5533.5,1501.5
"10","Nikola Jokic",114.9,0,1
"11","Kyrie Irving",114.2,1541,695
"12","Clint Capela",113.7,120,45.5
"13","James Harden",113.6,969,321.5
"14","Isaiah Thomas",113.6,467.5,155.5
"15","DeAndre Jordan",113.4,189.5,27
"16","Kevin Love",113.2,866.5,194.5
"17","Kyle Lowry",112.8,561,162
"18","Kawhi Leonard",112.6,2701.5,716.5
"19","Bradley Beal",112.1,55.5,40.5
"20","Danilo Gallinari",112.1,29,6
"21","Josh Huestis",111.3,24.5,2.5
"22","John Wall",111.2,0,77
"23","Pau Gasol",110.7,882.5,148.5
"24","Al Horford",110.7,136,71
"25","Shawn Long",110.5,NA,NA
"26","DeMar DeRozan",110.2,0,186
"27","David Lee",110.2,56.5,35
"28","Damian Lillard",110.1,186.5,43
"29","Greg Monroe",110.1,9,7
"30","Karl-Anthony Towns",109.9,0,105
